name,elapsedTime,taskStatus,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,distance
Katie,19.61481,In Progress,-0.5490121,1.605941,-0.2943576,-0.7929266,1.579638,-0.4849638,-0.6537519,1.499533,-0.006075203,0.04489138
Katie,20.13796,In Progress,-0.5080237,1.608997,-0.2125449,-0.6129584,1.527579,-0.6256047,-0.8319278,1.60708,-0.4355796,0.04489138
Katie,20.64983,In Progress,-0.4900103,1.612489,-0.2289834,-0.7348991,1.540805,-0.6396828,-0.9222444,1.661118,-0.5602146,0.04489138
Katie,21.16438,In Progress,-0.4947657,1.612091,-0.2339952,-0.7931771,1.539249,-0.6579326,-0.9183062,1.640587,-0.5293476,0.02875037
Katie,21.68368,In Progress,-0.5106865,1.612278,-0.2256531,-0.7955481,1.545341,-0.6409923,-0.936282,1.608281,-0.4910513,0.02667324
Katie,22.20273,In Progress,-0.5157365,1.615132,-0.2145408,-0.8028421,1.554743,-0.6478477,-0.9453773,1.602128,-0.4796309,0.01848314
Katie,22.71879,In Progress,-0.5198166,1.613534,-0.2133953,-0.8101426,1.560833,-0.6455107,-0.9466202,1.594891,-0.4802899,0.01162993
Katie,23.2305,Done,-0.5269455,1.613491,-0.2144377,-0.8160487,1.563922,-0.648783,-0.9568835,1.587122,-0.4776528,0.009145275
Katie,23.74642,Done,-0.5212638,1.613839,-0.2086391,-0.7704971,1.565876,-0.6442549,-0.9429788,1.586691,-0.476738,0.009145275
Katie,24.25804,Done,-0.481383,1.620452,-0.1561179,-0.4718683,1.315465,-0.4694019,-0.8581286,1.44867,-0.2647148,0.009145275
Katie,24.78817,Done,-0.3993889,1.610829,-0.0135932,-0.4108512,1.259209,-0.3082247,-0.7093813,1.358092,-0.07295364,0.009145275
