name,elapsedTime,taskStatus,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,distance
Jason,0.02,In Progress.,0.4835308,1.61061,0.5034186,0,0,-0.15,0,0,-0.15,1.136524
Jason,0.5413843,In Progress,0.4251105,1.630178,0.5036149,0.5929843,1.116339,0.725949,0.4216777,1.092108,0.7788427,1.136524
Jason,1.063329,In Progress,0.4112918,1.596998,0.5258772,0.5194308,1.110689,0.7649919,0.3363408,1.088938,0.7681853,1.136524
Jason,1.579748,In Progress,0.4122001,1.622132,0.5393788,0.4664291,1.098915,0.7968041,0.2722064,1.086294,0.748666,1.136524
Jason,2.102028,In Progress,0.3941506,1.625622,0.5182153,0.4070709,1.110209,0.836585,0.2143259,1.098073,0.7254533,1.136524
Jason,2.60935,In Progress,0.3732382,1.60755,0.526994,0.3976473,1.110725,0.8350916,0.2043275,1.097384,0.7195714,1.136524
Jason,3.130574,In Progress,0.4617432,1.583667,0.5760859,0.5554528,1.067748,0.787312,0.3349411,1.077651,0.7784625,1.136524
Jason,3.648841,In Progress,0.4620538,1.589264,0.5587513,0.6330892,1.068746,0.7211154,0.4213541,1.073521,0.7815772,1.136524
Jason,4.169425,In Progress,0.4675274,1.642085,0.5295795,0.6234393,1.123615,0.75243,0.3948637,1.098943,0.7850273,1.136524
Jason,4.682124,In Progress,0.5533903,1.654237,0.4858361,0.6887079,1.151206,0.7256944,0.4862961,1.106531,0.8005716,1.136524
Jason,5.195852,In Progress,0.5644802,1.649921,0.5167276,0.7651812,1.149898,0.6806623,0.5846024,1.107286,0.8138205,1.136524
Jason,5.710855,In Progress,0.3825061,1.657431,0.6552411,0.5734304,1.168894,0.8646889,0.3516723,1.121699,0.9213868,1.136524
Jason,6.224145,In Progress,0.4162048,1.627979,0.6686305,0.445751,1.151736,0.9399316,0.2514925,1.108937,0.8392491,1.136524
Jason,6.738148,In Progress,0.3594691,1.606576,0.5512601,0.2174121,1.158298,0.800244,0.1549437,1.119886,0.6185684,1.136524
Jason,7.250828,In Progress,0.4285289,1.653924,0.6021967,0.1484106,1.160105,0.6734992,0.2228379,1.112884,0.4770049,1.136524
Jason,7.765144,In Progress,0.4865942,1.621744,0.5748608,0.2309047,1.125272,0.5663629,0.3550788,1.097373,0.411723,1.136524
Jason,8.280059,In Progress,0.4951534,1.597798,0.4393331,0.2387173,1.065732,0.4035513,0.4441162,1.093419,0.2613708,1.136524
Jason,8.792236,In Progress,0.4260918,1.577024,0.4307755,0.2307143,0.8799154,0.3484302,0.4790711,1.080467,0.2539881,1.136524
Jason,9.311176,In Progress,0.3451847,1.602301,0.5142281,0.1709501,0.8630679,0.3698846,0.4423528,1.099227,0.3238645,1.136524
Jason,9.8234,In Progress,0.3895801,1.610007,0.5402229,0.1828836,0.88882,0.3533325,0.4755049,1.112804,0.3216614,1.136524
Jason,10.33539,In Progress,-0.2390182,1.618547,-0.7694528,-0.4622771,0.8787051,-0.9482112,-0.1701958,1.113966,-0.9960755,1.136524
Jason,10.8501,In Progress,-0.3004383,1.62783,-0.7211426,-0.5487751,1.032672,-0.8797064,-0.3016676,1.109715,-0.9808282,1.136524
Jason,11.36495,In Progress,-0.2419341,1.619055,-0.7215734,-0.5342001,1.067914,-0.7117932,-0.4061511,1.11567,-0.9549517,1.136524
Jason,11.88656,In Progress,-0.1851279,1.567111,-0.5736344,-0.309503,0.9024815,-0.4333198,-0.43661,1.086651,-0.6546427,1.136524
Jason,12.40471,In Progress,-0.1580901,1.584369,-0.6925869,-0.07813293,0.9645035,-0.5003816,-0.3242851,1.08241,-0.4893064,1.136524
Jason,12.9289,In Progress,-0.2302256,1.609132,-0.8202103,0.05629522,1.352958,-0.6623093,-0.2502173,1.129403,-0.5297449,1.136524
Jason,13.44465,In Progress,-0.2315865,1.612802,-0.8324301,0.05664784,1.372629,-0.6428319,-0.2701133,1.132237,-0.5402678,1.130427
Jason,13.95778,In Progress,-0.2935986,1.629571,-0.7659844,-0.349227,1.363248,-0.4890405,-0.4129986,1.13622,-0.5570805,0.6615281
Jason,14.47022,In Progress,-0.2687488,1.652366,-0.7566141,-0.644866,1.48018,-0.6488128,-0.5129718,1.13811,-0.7295151,0.2228942
Jason,14.98398,In Progress,-0.3073836,1.655396,-0.8911102,-0.8365194,1.637234,-0.72633,-0.5549517,1.151887,-0.8008956,0.04465439
Jason,15.50243,In Progress,-0.3290895,1.615216,-1.011729,-0.8784854,1.615516,-0.7948588,-0.5388272,1.162382,-0.7933176,0.02537871
Jason,16.02476,In Progress,-0.3536974,1.60031,-1.054097,-0.8826011,1.631209,-0.7861876,-0.5477905,1.164336,-0.7934282,0.01514305
Jason,16.53995,In Progress,-0.3418587,1.599585,-1.062422,-0.8744766,1.633135,-0.7932662,-0.5394866,1.170159,-0.8028308,0.01901936
Jason,17.06152,In Progress,-0.346756,1.60028,-1.049314,-0.8818846,1.609568,-0.7763113,-0.5400831,1.1634,-0.802048,0.0112817
Jason,17.60949,Done,-0.3511402,1.604063,-1.034435,-0.8444121,1.651122,-0.8146672,-0.5382972,1.162195,-0.7966124,0.006940939
Jason,18.12656,Done,-0.3276054,1.656021,-0.9053419,-0.4858875,1.33328,-0.6056862,-0.5434037,1.166067,-0.7834132,0.006940939
Jason,18.64826,Done,-0.2440244,1.660805,-0.6816792,-0.4765859,1.248465,-0.520237,-0.4904173,1.167274,-0.6703233,0.006940939
Jason,19.16588,Done,-0.2082856,1.658875,-0.6809235,-0.4582422,1.240367,-0.5210887,-0.4625669,1.171442,-0.6774378,0.006940939
Jason,19.68711,Done,-0.2449908,1.652266,-0.7827432,-0.4108128,1.217736,-0.5577738,-0.4591321,1.155303,-0.7024233,0.006940939
Jason,20.20095,Done,-0.2297205,1.635547,-0.7263695,-0.387472,1.208326,-0.5271142,-0.4530887,1.163238,-0.6601486,0.006940939
Katie,0.02,In Progress.,1.204845,1.617687,1.070963,0,0,-0.15,0,0,-0.15,1.136524
Katie,0.5358986,In Progress,1.189393,1.598978,1.008896,1.139527,0.806446,0.853654,1.154138,0.7316524,1.306075,1.136524
Katie,1.05001,In Progress,1.173912,1.614361,0.9502147,1.22879,0.7696985,0.7647827,1.036421,0.7673838,1.174635,1.136524
Katie,1.561646,In Progress,1.062391,1.514252,0.8442987,1.090869,0.8944733,0.676495,0.9502364,0.9586397,1.023346,1.136524
Katie,2.07463,In Progress,1.0889,1.57956,0.8171546,1.076118,1.084549,0.5930305,0.8964583,1.108384,0.8492761,1.136524
Katie,2.588575,In Progress,1.020638,1.605198,0.8647051,0.9181787,1.33191,0.487998,0.7892541,1.286621,0.7039901,1.136524
Katie,3.106443,In Progress,0.9680365,1.59682,0.7493616,0.7987713,1.356565,0.3315642,0.710339,1.278959,0.6642157,1.136524
Katie,3.629445,In Progress,0.9032675,1.607826,0.5783014,0.741779,1.403931,0.1549007,0.6564466,1.281231,0.4600002,1.136524
Katie,4.14308,In Progress,0.7836884,1.607748,0.5361449,0.642095,1.405246,0.08699302,0.5228949,1.291444,0.4059002,1.136524
Katie,4.65832,In Progress,0.7706376,1.592671,0.3517282,0.5073657,1.401573,-0.117467,0.4890625,1.288006,0.3159216,1.136524
Katie,5.169211,In Progress,0.666917,1.59365,0.2299878,0.3956156,1.400396,-0.2806163,0.4396542,1.251394,0.2531758,1.136524
Katie,5.686377,In Progress,0.6147738,1.598406,0.1085964,0.3102523,1.401035,-0.3879556,0.3886015,1.24984,0.1549627,1.136524
Katie,6.196047,In Progress,0.576085,1.597361,0.01977681,0.2355802,1.381278,-0.4749952,0.3733963,1.231222,0.09577571,1.136524
Katie,6.714498,In Progress,0.6061535,1.590641,0.0322891,0.2764353,1.392257,-0.4025609,0.3986956,1.243041,0.09254076,1.136524
Katie,7.236477,In Progress,0.6032147,1.592058,0.02398847,0.2481091,1.40612,-0.4266569,0.399394,1.242374,0.1046363,1.136524
Katie,7.753473,In Progress,0.5932972,1.594057,0.0254778,0.2111815,1.439619,-0.4647425,0.3953037,1.241707,0.1193866,1.136524
Katie,8.273839,In Progress,0.5759224,1.594349,0.0209354,0.2106932,1.431588,-0.4896499,0.3811818,1.238679,0.1198615,1.138171
Katie,8.792176,In Progress,0.5958802,1.597873,0.07673246,0.3377481,1.379749,-0.1899269,0.3930932,1.244743,0.1255421,1.273548
Katie,9.30235,In Progress,0.5833366,1.570685,0.1975845,0.4008183,1.358727,-0.06564558,0.3851789,1.229896,0.2318169,1.390159
Katie,9.817831,In Progress,0.5400742,1.508816,0.2203234,0.438151,1.350998,-0.06713127,0.4500296,1.222905,0.4024606,1.394051
Katie,10.33993,In Progress,0.5457305,1.580921,0.2182268,0.3445988,1.405369,-0.009546906,0.4106184,1.251036,0.3616736,1.326677
Katie,10.85792,In Progress,0.5697588,1.59602,0.2525841,0.4316149,1.408381,0.007245481,0.1678885,1.507498,0.06310818,1.419962
Katie,11.37926,In Progress,0.594363,1.571051,0.2155576,0.4894599,1.397188,-0.03278592,0.148393,1.496089,0.03926381,1.460833
Katie,11.89681,In Progress,0.6408391,1.596394,0.1876158,0.458133,1.400543,-0.02773862,0.296587,1.455604,0.1537721,1.427321
Katie,12.41775,In Progress,0.6295553,1.601233,0.2036071,0.428046,1.396591,0.01347157,0.3521556,1.393855,0.1938362,1.420836
Katie,12.93436,In Progress,0.5169897,1.60777,0.2671994,0.2388494,1.363552,0.0508693,0.2780397,1.358872,0.2658345,1.309209
Katie,13.44579,In Progress,0.5184017,1.600902,0.2716893,0.2628616,1.377032,0.05062427,0.2089491,1.357199,0.2066064,1.319994
Katie,13.95966,In Progress,0.5582631,1.602736,0.2596301,0.3342949,1.364418,0.01877749,0.2631471,1.34175,0.174142,1.362699
Katie,14.4741,In Progress,0.5727442,1.601886,0.2601199,0.3578355,1.374762,0.02025487,0.2622718,1.341908,0.1779759,1.385774
Katie,14.98791,In Progress,0.5832351,1.595224,0.2576932,0.3675659,1.297236,0.01960003,0.2802513,0.8164923,0.2260452,1.380412
Katie,15.50052,In Progress,-0.2446929,1.592786,0.04772589,-0.4478641,1.33161,-0.2029264,-0.6131504,0.8784063,-0.03025889,0.5941914
Katie,16.01665,In Progress,-0.2354766,1.605099,0.0151996,-0.4454899,1.435628,-0.287968,-0.5854699,0.9981066,-0.08415824,0.5163224
Katie,16.52841,In Progress,-0.3274161,1.600783,-0.009364903,-0.4991332,1.470517,-0.4006797,-0.6100519,1.074934,-0.02445555,0.4052791
Katie,17.04144,In Progress,-0.3575425,1.609608,-0.106667,-0.615622,1.46176,-0.520619,-0.6173849,1.120157,0.003085732,0.255442
Katie,17.55651,In Progress,-0.4030259,1.604032,-0.1322538,-0.7067141,1.535826,-0.514278,-0.646076,1.148534,0.04210496,0.160046
Katie,18.07038,In Progress,-0.4434364,1.609248,-0.1495201,-0.7154174,1.544842,-0.5564414,-0.6382616,1.526492,0.0179143,0.1365752
Katie,18.58478,In Progress,-0.5095063,1.609278,-0.2692038,-0.7890893,1.558301,-0.5649459,-0.6511026,1.510007,-0.02072334,0.06327567
Katie,19.09762,In Progress,-0.5420994,1.600542,-0.3093812,-0.8079759,1.587238,-0.5726866,-0.6168635,1.526909,0.05219311,0.04408552
